user_id,device_age_days,sim_swap_count_3m,avg_monthly_inflow,inflow_volatility,utility_bill_payment_ratio,airtime_topup_freq_pm,avg_airtime_topup_val,default_within_30_days
user_110368,209,2,4371.69,0.645,0.925,37,137.33,0
user_110369,95,0,9252.21,0.217,0.455,31,49.99,0
user_110370,849,0,14568.09,0.551,0.828,28,63.57,0
user_110371,377,1,21545.23,0.494,0.907,14,100.76,0
user_110372,200,0,19422.34,0.156,0.641,29,88.45,0
user_110373,503,0,9133.13,0.229,0.544,28,165.5,0
user_110374,563,0,17948.05,0.151,0.516,24,43.01,0
user_110375,396,0,5561.43,0.454,0.309,23,151.72,0
user_110376,136,0,12210.72,0.195,0.925,27,99.27,0
user_110377,468,0,16328.51,0.788,0.901,20,273.07,0
user_110378,864,0,22462.47,0.257,0.614,44,137.44,0
user_110379,256,0,3244.03,0.592,0.521,8,114.51,0
user_110380,473,0,3599.44,0.295,0.634,30,83.21,0
user_110381,471,0,3150.83,0.318,0.674,30,74.28,0
user_110382,425,0,13860.38,0.283,0.708,11,78.31,0
user_110383,757,0,14661.46,0.131,0.775,25,43.55,0
user_110384,610,0,2166.15,0.746,0.81,14,35.67,0
user_110385,113,0,18037.3,0.634,0.679,32,63.78,0
user_110386,644,0,23615.98,0.228,0.908,17,97.7,0
user_110387,580,1,3859.83,0.281,0.42,26,70.33,0
user_110388,42,0,8172.11,0.381,0.666,7,19.24,0
user_110389,838,0,30454.01,0.631,0.944,14,47.78,0
user_110390,854,0,19432.87,0.707,0.801,12,82.6,0
user_110391,722,0,7449.96,0.626,0.577,17,122.02,0
user_110392,522,0,22336.06,0.763,0.528,9,110.62,0
user_110393,297,0,34741.07,0.621,0.892,18,202.23,0
user_110394,554,0,7551.18,0.218,0.638,34,32.73,0
user_110395,149,1,19293.67,0.334,0.607,34,88.66,0
user_110396,999,0,3471.13,0.607,0.839,41,94.23,0
user_110397,382,0,2907.13,0.145,0.279,23,175.71,0
user_110398,86,0,15237.67,0.222,0.696,50,133.28,0
user_110399,69,0,12171.63,0.787,0.802,16,46.56,0
user_110400,915,0,26917.94,0.549,0.379,29,139.36,0
user_110401,365,0,24731.24,0.184,0.905,32,115.75,0
user_110402,669,0,7067.71,0.119,0.812,41,108.35,0
user_110403,202,0,12769.67,0.772,0.501,15,44.57,0
user_110404,576,0,23145.08,0.424,0.656,19,134.27,0
user_110405,288,0,6740.25,0.366,0.698,37,78.36,0
user_110406,917,0,8740.35,0.647,0.573,13,168.98,0
user_110407,546,0,2925.95,0.552,0.754,21,146.31,0
user_110408,759,0,4097.36,0.469,0.524,30,141.19,0
user_110409,552,0,16132.61,0.222,0.618,20,139.87,0
user_110410,923,0,12300.06,0.466,0.561,15,71.5,0
user_110411,868,0,4769.5,0.455,0.555,13,112.96,0
user_110412,146,0,2109.62,0.126,0.868,28,117.62,0
user_110413,213,1,4777.48,0.426,0.897,14,95.89,0
user_110414,935,0,22772.83,0.502,0.878,11,91.19,0
user_110415,903,0,3475.48,0.598,0.761,29,72.43,0
user_110416,145,0,9723.74,0.467,0.898,11,111.7,0
user_110417,191,0,6092.67,0.47,0.704,23,64.36,0
user_110418,608,0,13957.52,0.475,0.757,30,185.4,0
user_110419,741,0,12747.84,0.253,0.536,15,66.35,0
user_110420,572,0,63077.19,0.707,0.644,24,162.57,0
user_110421,616,0,24234.16,0.513,0.824,22,68.69,0
user_110422,266,0,43789.26,0.562,0.649,8,95.72,0
user_110423,868,0,14939.77,0.427,0.7,17,136.82,0
user_110424,95,0,22078.65,0.16,0.604,18,55.85,0
user_110425,99,0,35817.87,0.17,0.625,33,241.98,0
user_110426,838,1,2629.07,0.395,0.835,23,97.25,0
user_110427,476,0,39056.21,0.703,0.522,4,65.51,0
user_110428,445,0,5569.49,0.141,0.773,30,88.27,0
user_110429,561,0,20312.52,0.427,0.842,23,54.49,0
user_110430,470,0,24264.62,0.08,0.802,17,100.24,0
user_110431,767,0,3736.65,0.704,0.768,23,124.7,0
user_110432,975,0,47896.03,0.246,0.852,32,59.95,0
user_110433,493,0,41169.13,0.313,0.457,11,102.05,0
user_110434,950,2,17943.73,0.173,0.634,17,39.36,0
user_110435,425,0,4532.12,0.285,0.727,21,93.39,0
user_110436,740,2,14522.41,0.345,0.576,20,98.79,0
user_110437,580,0,8327.23,0.17,0.497,11,61.02,0
user_110438,686,1,42053.59,0.261,0.843,12,85.45,0
user_110439,586,0,9829.71,0.563,0.757,21,116.38,0
user_110440,424,1,19750.27,0.7,0.768,12,79.22,0
user_110441,355,0,17200.91,0.536,0.72,29,54.99,0
user_110442,922,0,6741.54,0.772,0.779,21,80.74,0
user_110443,948,0,13501.8,0.234,0.721,9,62.5,0
user_110444,120,0,9913.99,0.321,0.624,8,72.93,0
user_110445,779,0,9041.12,0.297,0.617,19,125.09,0
user_110446,99,0,31927.11,0.448,0.921,19,112.77,0
user_110447,195,0,4258.13,0.585,0.888,6,103.74,0
user_110448,671,2,9924.51,0.209,0.397,21,65.2,0
user_110449,243,0,2101.63,0.668,0.862,19,74.03,0
user_110450,881,1,6554.94,0.304,0.94,18,95.31,0
user_110451,630,3,16582.87,0.397,0.581,15,82.41,0
user_110452,364,0,3373.87,0.677,0.862,19,174.02,0
user_110453,793,0,6744.95,0.296,0.864,22,121.54,0
user_110454,398,0,33832.58,0.553,0.81,45,59.65,0
user_110455,890,0,19656.82,0.398,0.796,31,92.47,0
user_110456,613,0,3093.22,0.255,0.916,26,192.0,0
user_110457,706,0,75154.31,0.386,0.722,13,179.59,0
user_110458,78,0,45545.0,0.619,0.942,25,113.05,0
user_110459,81,0,4291.85,0.551,0.864,16,94.17,0
user_110460,318,0,40240.42,0.616,0.679,27,83.49,0
user_110461,819,0,13975.74,0.285,0.785,21,60.59,0
user_110462,655,1,41756.85,0.628,0.534,26,52.07,0
user_110463,268,0,53654.11,0.354,0.657,27,139.93,0
user_110464,162,0,19741.17,0.453,0.666,33,71.91,0
user_110465,815,0,7164.8,0.709,0.513,22,69.23,0
user_110466,195,0,40785.66,0.588,0.54,30,87.96,0
user_110467,403,0,14781.39,0.587,0.641,24,106.13,0
user_110468,402,0,8267.81,0.425,0.886,17,154.64,0
user_110469,834,0,11243.85,0.485,0.797,8,77.57,0
user_110470,507,1,9818.24,0.616,0.994,22,69.88,0
user_110471,784,1,43067.6,0.053,0.579,47,58.37,0
user_110472,508,0,27708.07,0.36,0.941,30,221.7,0
user_110473,861,0,2478.16,0.275,0.683,10,47.43,0
user_110474,679,0,2148.57,0.242,0.886,20,81.71,0
user_110475,620,0,3078.48,0.672,0.624,32,79.63,0
user_110476,711,0,16139.02,0.408,0.758,18,76.86,0
user_110477,664,0,27268.87,0.087,0.657,13,180.29,0
user_110478,717,0,12852.5,0.782,0.617,9,52.54,0
user_110479,329,1,13476.78,0.16,0.889,28,80.51,0
user_110480,111,0,6124.89,0.375,0.912,24,81.83,0
user_110481,116,0,11223.15,0.524,0.738,21,124.53,0
user_110482,254,0,6452.78,0.473,0.646,14,42.36,0
user_110483,45,0,6803.35,0.376,0.829,31,166.01,0
user_110484,851,1,9442.99,0.278,0.72,19,134.56,0
user_110485,387,1,2730.69,0.477,0.706,27,30.13,0
user_110486,192,0,48502.52,0.692,0.888,18,215.75,0
user_110487,639,0,38847.0,0.23,0.396,18,176.5,0
user_110488,697,0,25864.04,0.097,0.863,18,94.57,0
user_110489,543,0,14607.7,0.318,0.703,11,49.5,0
user_110490,379,2,27151.74,0.611,0.538,16,141.67,0
user_110491,938,0,56824.53,0.794,0.853,23,58.45,0
user_110492,710,0,7002.41,0.538,0.864,25,115.46,0
user_110493,493,0,8794.84,0.432,0.709,33,179.76,0
user_110494,856,0,21587.09,0.108,0.857,11,97.77,0
user_110495,866,0,17444.64,0.306,0.486,20,48.36,0
user_110496,404,0,28129.02,0.092,0.614,32,169.85,0
user_110497,121,0,8392.22,0.365,0.82,17,155.85,0
user_110498,210,0,7577.97,0.418,0.663,38,54.75,0
user_110499,772,0,15207.24,0.256,0.627,24,109.38,0
user_110500,330,1,4364.86,0.102,0.609,12,101.11,0
user_110501,689,0,2605.69,0.37,0.92,13,23.76,0
user_110502,821,0,6198.4,0.778,0.741,32,217.42,0
user_110503,218,0,4585.41,0.291,0.857,14,61.78,0
user_110504,888,2,2100.46,0.286,0.617,12,83.8,0
user_110505,891,0,24576.76,0.161,0.673,12,144.69,0
user_110506,343,0,13753.02,0.467,0.634,44,78.06,0
user_110507,522,0,18582.43,0.452,0.549,7,161.99,0
user_110508,952,0,4669.87,0.34,0.543,10,47.41,0
user_110509,951,0,6449.67,0.721,0.664,27,64.17,0
user_110510,157,0,2929.92,0.121,0.636,24,148.81,0
user_110511,548,1,91715.53,0.741,0.633,7,130.75,0
user_110512,455,0,3631.95,0.359,0.834,10,53.41,0
user_110513,588,0,3420.68,0.152,0.81,39,113.54,0
user_110514,594,0,16285.32,0.473,0.743,18,115.24,0
user_110515,216,0,8049.38,0.56,0.552,26,86.71,0
user_110516,579,0,34782.6,0.26,0.877,13,51.5,0
user_110517,482,0,28713.94,0.678,0.84,28,108.72,0
user_110518,500,0,32391.66,0.058,0.523,15,144.81,0
user_110519,767,2,21927.76,0.312,0.82,43,70.7,0
user_110520,594,0,4119.82,0.708,0.833,26,111.3,0
user_110521,940,0,2985.88,0.558,0.785,18,104.26,0
user_110522,253,0,3002.19,0.218,0.923,44,60.74,0
user_110523,183,0,26275.64,0.391,0.814,41,104.41,0
user_110524,589,0,18055.52,0.251,0.818,23,58.85,0
user_110525,380,0,61437.41,0.405,0.906,12,61.22,0
user_110526,176,2,17471.66,0.678,0.93,25,59.53,0
user_110527,934,0,6300.51,0.088,0.869,30,267.6,0
user_110528,605,0,3406.66,0.234,0.845,16,57.15,0
user_110529,378,0,8826.12,0.074,0.654,11,64.66,0
user_110530,211,0,5341.46,0.794,0.984,13,119.39,0
user_110531,666,1,16848.87,0.17,0.92,22,74.0,0
user_110532,208,0,3513.27,0.261,0.686,15,48.99,0
user_110533,68,0,24209.77,0.69,0.724,13,148.58,0
user_110534,801,1,19888.11,0.434,0.818,10,78.89,0
user_110535,923,0,21997.44,0.758,0.702,33,83.84,0
user_110536,32,0,52491.93,0.493,0.598,26,172.14,0
user_110537,93,0,17771.35,0.591,0.93,23,36.28,0
user_110538,58,0,25306.67,0.513,0.651,31,147.2,0
user_110539,401,0,3337.46,0.603,0.718,27,58.26,0
user_110540,552,0,44994.43,0.251,0.565,13,120.39,0
user_110541,126,2,5699.5,0.299,0.656,23,90.12,0
user_110542,899,0,12190.17,0.502,0.823,19,53.73,0
user_110543,471,0,49231.29,0.695,0.653,8,159.32,0
user_110544,232,0,4965.13,0.222,0.476,39,145.07,0
user_110545,440,0,2542.29,0.768,0.599,22,130.09,0
user_110546,50,0,7287.35,0.386,0.91,23,111.55,0
user_110547,580,0,4550.72,0.151,0.496,6,194.35,0
user_110548,764,0,18540.68,0.704,0.71,17,41.92,0
user_110549,131,0,6893.74,0.746,0.388,37,152.47,0
user_110550,75,0,2973.51,0.667,0.934,18,106.35,0
user_110551,95,2,35527.2,0.376,0.672,34,92.55,0
user_110552,632,0,2761.11,0.758,0.683,21,135.8,0
user_110553,193,0,6746.8,0.299,0.711,27,110.33,0
user_110554,140,0,6122.36,0.116,0.825,12,96.72,0
user_110555,367,0,2356.81,0.308,0.914,21,60.95,0
user_110556,152,0,4709.03,0.324,0.796,17,139.59,0
user_110557,734,0,27298.75,0.651,0.622,5,35.57,0
user_110558,476,0,2573.76,0.586,0.706,15,72.52,0
user_110559,640,0,2352.52,0.516,0.918,14,96.87,0
user_110560,320,0,17077.7,0.194,0.749,7,91.97,0
user_110561,700,0,3396.9,0.65,0.947,14,104.43,0
user_110562,441,0,8968.17,0.074,0.506,33,271.59,0
user_110563,644,0,2032.16,0.214,0.686,5,64.8,0
user_110564,926,0,8750.19,0.462,0.853,30,215.77,0
user_110565,310,1,7741.8,0.407,0.905,17,114.02,0
user_110566,72,0,16228.35,0.568,0.313,23,327.91,0
user_110567,515,0,12370.1,0.645,0.767,16,70.01,0
user_110568,625,0,19022.54,0.699,0.442,23,129.55,0
user_110569,992,0,43199.3,0.774,0.317,10,100.92,0
user_110570,732,0,25783.87,0.465,0.449,25,178.87,0
user_110571,80,1,42669.75,0.485,0.666,49,109.25,0
user_110572,927,0,2836.27,0.47,0.595,25,232.2,0
user_110573,239,0,71594.86,0.722,0.483,12,84.48,0
user_110574,155,3,7830.43,0.629,0.665,16,87.75,0
user_110575,521,2,6859.34,0.423,0.784,22,89.16,0
user_110576,538,0,9750.68,0.563,0.848,9,75.02,0
user_110577,989,0,24938.74,0.279,0.776,21,110.72,0
user_110578,999,0,48279.85,0.175,0.863,11,139.64,0
user_110579,610,1,14119.47,0.085,0.677,21,94.45,0
user_110580,806,0,4515.41,0.361,0.567,21,128.14,0
user_110581,287,3,5613.01,0.329,0.424,45,64.83,0
user_110582,959,0,9797.28,0.619,0.626,9,48.83,0
user_110583,217,0,8829.85,0.428,0.926,44,107.18,0
user_110584,259,0,6082.45,0.178,0.284,11,124.71,0
user_110585,218,0,30479.64,0.124,0.785,20,61.34,0
user_110586,444,1,6929.9,0.11,0.796,13,76.41,0
user_110587,39,0,15475.04,0.063,0.833,32,60.41,0
user_110588,143,0,11788.8,0.106,0.922,24,134.31,0
user_110589,105,0,40549.17,0.615,0.945,47,58.42,0
user_110590,705,0,16870.08,0.63,0.8,13,93.14,0
user_110591,531,0,8054.11,0.316,0.581,11,31.69,0
user_110592,114,1,17270.36,0.075,0.891,13,100.74,0
user_110593,78,0,7760.84,0.147,0.651,13,90.35,0
user_110594,524,0,3429.0,0.431,0.64,26,107.34,0
user_110595,867,0,11959.82,0.783,0.657,15,41.12,0
user_110596,718,0,31512.94,0.142,0.59,39,121.49,0
user_110597,416,0,37983.29,0.166,0.345,32,166.07,0
user_110598,999,3,13770.45,0.354,0.74,3,42.97,0
user_110599,418,0,20035.8,0.512,0.857,43,112.51,0
user_110600,247,0,16150.74,0.344,0.728,16,113.11,0
user_110601,730,0,26976.23,0.52,0.705,27,72.89,0
user_110602,375,0,3634.25,0.099,0.737,33,51.87,0
user_110603,259,0,9696.72,0.184,0.574,17,98.63,0
user_110604,284,0,6376.97,0.103,0.601,19,109.46,0
user_110605,265,0,2098.96,0.706,0.741,42,172.42,0
user_110606,55,0,28572.29,0.649,0.789,14,138.36,0
user_110607,613,0,4161.27,0.25,0.738,20,140.15,0
user_110608,290,0,7859.58,0.616,0.758,15,65.4,0
user_110609,795,0,32247.19,0.658,0.64,53,105.21,0
user_110610,300,0,21165.23,0.688,0.711,14,62.31,0
user_110611,152,0,14579.99,0.375,0.657,24,24.17,0
user_110612,685,0,7571.77,0.777,0.639,22,84.97,0
user_110613,286,0,12864.06,0.719,0.836,26,72.78,0
user_110614,685,0,2868.22,0.582,0.6,17,49.9,0
user_110615,450,0,21490.6,0.074,0.663,31,125.77,0
user_110616,288,0,6063.67,0.603,0.774,28,215.02,0
user_110617,977,1,11785.84,0.521,0.257,23,19.14,0
user_110618,76,0,3488.52,0.759,0.745,31,82.02,0
user_110619,892,0,20608.93,0.391,0.613,10,62.98,0
user_110620,554,0,35926.16,0.491,0.639,5,152.46,0
user_110621,917,0,11130.34,0.477,0.783,11,45.27,0
user_110622,237,0,3303.41,0.068,0.672,10,36.0,0
user_110623,340,0,45526.76,0.21,0.798,31,65.33,0
user_110624,776,0,10887.3,0.187,0.899,24,53.31,0
user_110625,178,0,3256.26,0.316,0.906,17,99.56,0
user_110626,863,0,5131.72,0.257,0.935,9,87.54,0
user_110627,467,0,3914.85,0.292,0.79,25,78.54,0
user_110628,184,2,5300.82,0.106,0.908,30,96.25,0
user_110629,707,0,4540.24,0.165,0.511,18,124.02,0
user_110630,119,0,40435.43,0.43,0.525,41,77.89,0
user_110631,727,0,5518.27,0.432,0.922,59,71.45,0
user_110632,859,1,10750.05,0.123,0.812,21,106.25,0
user_110633,387,0,21633.27,0.504,0.749,26,117.79,0
user_110634,203,0,18950.3,0.784,0.687,15,100.53,0
user_110635,246,0,49013.26,0.344,0.964,30,38.51,0
user_110636,936,0,52733.97,0.172,0.803,25,52.66,0
user_110637,485,0,14683.8,0.797,0.519,11,129.49,0
user_110638,805,0,22933.29,0.445,0.829,13,55.52,0
user_110639,638,1,9317.51,0.232,0.795,19,160.96,0
user_110640,658,0,10412.06,0.708,0.875,32,101.31,0
user_110641,228,1,3653.44,0.145,0.659,52,155.86,0
user_110642,861,0,18786.18,0.189,0.832,30,106.56,0
user_110643,515,1,6733.17,0.618,0.801,17,81.32,0
user_110644,562,0,3248.46,0.733,0.637,24,88.64,0
user_110645,229,0,3550.95,0.373,0.809,31,66.09,0
user_110646,400,0,21222.37,0.103,0.613,13,161.47,0
user_110647,988,0,5899.59,0.519,0.829,21,44.06,0
user_110648,882,0,24044.18,0.624,0.612,13,95.84,0
user_110649,477,0,37454.15,0.445,0.784,4,83.52,0
user_110650,277,0,8252.03,0.344,0.561,21,98.15,0
user_110651,817,0,25689.17,0.558,0.905,12,73.89,0
user_110652,293,1,10398.91,0.404,0.792,20,75.34,0
user_110653,87,0,24190.41,0.636,0.765,28,95.48,0
user_110654,331,0,7494.89,0.055,0.626,20,81.39,0
user_110655,60,0,42210.98,0.506,0.646,11,104.16,0
user_110656,527,1,67382.36,0.684,0.831,37,190.42,0
user_110657,278,0,9320.14,0.561,0.518,19,26.29,0
user_110658,634,2,5327.05,0.476,0.752,21,211.18,0
user_110659,806,0,19343.5,0.217,0.816,24,41.7,0
user_110660,300,0,15141.43,0.463,0.647,19,121.42,0
user_110661,635,0,73458.73,0.661,0.781,14,58.46,0
user_110662,695,0,27037.36,0.694,0.955,16,62.88,0
user_110663,423,0,29036.66,0.528,0.746,35,82.13,0
user_110664,826,0,21445.73,0.788,0.684,21,169.89,0
user_110665,531,1,8479.96,0.139,0.764,26,55.86,0
user_110666,621,0,43196.2,0.563,0.863,15,76.02,0
user_110667,833,0,11401.13,0.083,0.836,27,112.69,0
user_110668,113,0,9648.47,0.691,0.582,16,132.3,0
user_110669,394,0,5239.44,0.633,0.921,21,150.48,0
user_110670,915,0,7435.16,0.661,0.291,17,129.54,0
user_110671,578,0,2033.86,0.321,0.879,12,38.25,0
user_110672,371,0,18177.94,0.211,0.774,37,44.18,0
user_110673,868,0,15950.77,0.209,0.714,24,91.87,0
user_110674,436,0,9738.41,0.731,0.4,21,117.61,0
user_110675,454,0,53217.54,0.442,0.713,15,44.7,0
user_110676,773,0,19718.8,0.193,0.662,15,91.78,0
user_110677,122,0,6170.26,0.109,0.615,16,55.17,0
user_110678,877,0,9139.16,0.363,0.616,33,71.32,0
user_110679,643,0,12878.85,0.152,0.869,16,94.92,0
user_110680,441,0,13823.51,0.316,0.548,16,53.93,0
user_110681,461,0,6836.91,0.151,0.855,24,90.62,0
user_110682,707,0,6304.04,0.457,0.488,20,61.87,0
user_110683,188,0,7337.77,0.099,0.453,6,134.75,0
user_110684,43,0,51596.34,0.096,0.882,30,43.87,0
user_110685,402,0,8683.18,0.662,0.702,26,44.79,0
user_110686,254,0,9029.49,0.113,0.623,19,64.03,0
user_110687,534,0,21107.57,0.777,0.768,18,60.71,0
user_110688,102,0,4664.65,0.483,0.652,11,102.36,0
user_110689,278,0,17457.15,0.271,0.653,44,190.78,0
user_110690,540,0,18455.05,0.254,0.879,23,46.9,0
user_110691,632,0,3000.35,0.549,0.412,19,62.89,0
user_110692,245,0,5159.8,0.697,0.674,33,136.65,0
user_110693,631,0,11424.19,0.441,0.782,12,102.4,0
user_110694,570,0,29065.14,0.624,0.885,7,158.01,0
user_110695,976,0,21770.75,0.752,0.708,14,59.27,0
user_110696,846,0,33006.9,0.504,0.497,14,132.88,0
user_110697,968,0,30557.78,0.366,0.706,16,36.58,0
user_110698,249,0,12746.3,0.133,0.883,21,55.66,0
user_110699,869,1,16604.18,0.568,0.953,19,70.17,0
user_110700,756,0,40036.51,0.689,0.731,3,105.81,0
user_110701,250,0,22268.12,0.063,0.427,25,276.74,0
user_110702,418,1,8644.62,0.535,0.704,29,69.04,0
user_110703,583,1,8470.08,0.101,0.569,40,57.04,0
user_110704,676,0,8850.32,0.757,0.593,14,91.12,0
user_110705,71,0,12253.99,0.361,0.882,14,153.44,0
user_110706,705,0,8752.73,0.189,0.891,29,139.85,0
user_110707,902,0,5114.76,0.202,0.736,16,84.47,0
user_110708,312,1,15555.03,0.118,0.685,8,141.04,0
user_110709,87,0,32512.47,0.543,0.48,18,182.65,0
user_110710,843,1,12175.31,0.709,0.754,29,95.66,0
user_110711,863,0,5710.56,0.336,0.921,16,87.53,0
user_110712,566,0,27153.74,0.448,0.81,13,65.71,0
user_110713,102,2,23143.09,0.244,0.936,26,84.32,0
user_110714,914,0,20070.46,0.632,0.783,14,108.72,0
user_110715,952,0,18846.24,0.537,0.769,31,216.03,0
user_110716,158,1,24867.78,0.799,0.708,35,120.82,0
user_110717,628,0,28602.57,0.688,0.53,24,66.81,0
user_110718,871,0,36271.62,0.156,0.711,15,52.16,0
user_110719,455,0,16121.48,0.683,0.818,17,69.96,0
user_110720,977,0,9503.05,0.09,0.809,18,213.34,0
user_110721,694,0,3412.95,0.162,0.411,17,119.41,0
user_110722,723,1,21224.5,0.339,0.81,25,141.91,0
user_110723,154,0,4283.42,0.192,0.927,3,72.58,0
user_110724,96,0,32433.49,0.264,0.892,22,86.56,0
user_110725,35,0,9809.97,0.583,0.615,14,106.3,0
user_110726,666,0,33328.64,0.471,0.768,27,72.02,0
user_110727,343,0,12961.95,0.349,0.732,32,84.66,0
user_110728,355,1,11062.85,0.535,0.467,21,143.81,0
user_110729,594,2,8778.21,0.05,0.846,26,52.23,0
user_110730,607,0,2949.64,0.709,0.629,10,101.7,0
user_110731,855,0,2173.92,0.346,0.858,15,51.77,0
user_110732,535,0,12660.18,0.417,0.523,15,141.03,0
user_110733,111,0,36705.85,0.138,0.434,15,209.8,0
user_110734,628,0,15232.33,0.618,0.76,19,134.98,0
user_110735,31,1,31748.65,0.796,0.855,26,72.59,0
user_110736,233,0,126666.25,0.625,0.797,23,35.19,0
user_110737,691,0,4951.48,0.155,0.542,16,53.68,0
user_110738,834,0,18163.47,0.747,0.84,40,165.89,0
user_110739,433,0,10091.15,0.488,0.53,11,181.1,0
user_110740,132,0,5513.16,0.7,0.406,13,171.48,0
user_110741,565,0,6134.4,0.367,0.771,29,87.97,0
user_110742,397,0,6208.68,0.259,0.678,38,45.38,0
user_110743,241,1,21620.66,0.066,0.459,16,105.35,0
user_110744,606,0,8577.62,0.761,0.884,21,50.77,0
user_110745,990,1,6430.36,0.165,0.547,11,31.05,0
user_110746,238,0,34568.18,0.637,0.63,3,59.28,0
user_110747,792,2,2524.22,0.259,0.483,16,49.84,0
user_110748,926,1,21955.39,0.478,0.937,22,58.58,0
user_110749,146,0,50493.38,0.669,0.612,17,103.44,0
user_110750,657,0,16738.19,0.312,0.721,17,137.08,0
user_110751,778,0,13916.51,0.374,0.833,16,83.07,0
user_110752,507,0,2951.23,0.158,0.726,14,129.68,0
user_110753,134,0,12486.24,0.365,0.776,26,126.62,0
user_110754,524,0,8727.25,0.669,0.846,17,70.24,0
user_110755,800,0,24582.97,0.71,0.934,19,72.85,0
user_110756,75,0,27051.86,0.525,0.711,17,77.37,0
user_110757,852,0,4751.68,0.401,0.35,23,75.09,0
user_110758,360,0,13079.83,0.205,0.887,10,171.84,0
user_110759,245,0,31485.02,0.391,0.856,19,127.08,0
user_110760,989,0,16693.52,0.655,0.715,20,122.01,0
user_110761,521,0,11836.93,0.282,0.657,26,68.88,0
user_110762,842,0,36250.79,0.651,0.851,13,102.75,0
user_110763,951,0,52937.73,0.053,0.768,28,75.3,0
user_110764,874,0,6023.57,0.311,0.567,30,52.15,0
user_110765,478,0,5028.0,0.793,0.712,11,102.32,0
user_110766,565,3,32018.3,0.733,0.754,40,103.23,0
user_110767,540,0,6174.88,0.535,0.45,34,136.7,0
user_110768,487,2,30242.2,0.419,0.664,17,196.21,0
user_110769,576,0,7375.58,0.581,0.613,20,68.58,0
user_110770,565,0,2290.6,0.786,0.677,24,99.81,0
user_110771,569,0,10221.14,0.073,0.897,23,107.26,0
user_110772,513,0,2618.07,0.257,0.808,29,100.22,0
user_110773,45,0,5497.74,0.796,0.736,44,153.07,0
user_110774,600,1,11790.5,0.503,0.648,11,190.82,0
user_110775,272,0,2588.84,0.598,0.663,12,105.84,0
user_110776,979,0,2506.68,0.615,0.58,20,82.54,0
user_110777,236,0,4528.9,0.346,0.617,20,107.44,0
user_110778,941,1,11319.47,0.756,0.928,20,72.94,0
user_110779,300,0,56754.66,0.173,0.767,15,131.82,0
user_110780,790,0,3471.05,0.658,0.538,9,39.44,0
user_110781,808,0,16591.34,0.464,0.783,11,143.51,0
user_110782,734,2,12309.66,0.266,0.626,13,103.7,0
user_110783,876,0,2930.61,0.409,0.875,21,139.36,0
user_110784,759,0,2521.07,0.45,0.58,32,95.52,0
user_110785,144,0,5762.27,0.323,0.776,10,88.86,0
user_110786,609,0,19315.88,0.279,0.972,27,140.63,0
user_110787,328,0,51206.61,0.383,0.551,29,44.96,0
user_110788,866,0,14181.59,0.677,0.935,35,132.11,0
user_110789,512,0,2702.79,0.584,0.765,16,84.08,0
user_110790,426,0,6475.6,0.111,0.718,14,67.81,0
user_110791,423,0,44793.26,0.625,0.687,20,133.47,0
user_110792,104,0,2188.99,0.746,0.62,28,80.8,0
user_110793,511,0,15829.04,0.769,0.898,10,153.05,0
user_110794,132,0,4956.98,0.355,0.422,21,112.98,0
user_110795,326,0,3027.57,0.738,0.784,20,37.77,0
user_110796,207,0,6404.22,0.176,0.646,29,27.79,0
user_110797,244,0,43466.54,0.35,0.916,12,44.52,0
user_110798,996,0,23517.1,0.43,0.956,11,129.39,0
user_110799,344,0,4817.01,0.187,0.784,20,117.62,0
user_110800,68,0,3019.41,0.566,0.589,23,33.82,0
user_110801,288,0,12192.99,0.359,0.963,16,86.64,0
user_110802,745,1,2811.48,0.146,0.868,6,110.77,0
user_110803,36,0,9764.22,0.445,0.899,21,83.86,0
user_110804,78,0,26160.43,0.265,0.843,6,62.55,0
user_110805,567,1,12417.13,0.756,0.688,32,52.15,0
user_110806,190,0,36072.21,0.669,0.77,16,40.07,0
user_110807,898,0,25499.8,0.664,0.892,22,86.83,0
user_110808,205,0,14154.27,0.532,0.853,15,51.7,0
user_110809,620,0,25438.61,0.123,0.869,32,92.38,0
user_110810,31,2,3495.09,0.384,0.376,17,152.23,0
user_110811,924,1,5372.71,0.536,0.731,16,48.63,0
user_110812,484,0,20080.63,0.199,0.449,5,64.41,0
user_110813,957,0,2086.05,0.352,0.544,7,86.47,0
user_110814,673,0,2070.35,0.411,0.745,21,122.83,0
user_110815,305,0,9178.8,0.676,0.711,8,188.07,0
user_110816,527,0,32269.73,0.335,0.667,10,124.04,0
user_110817,658,0,61331.69,0.312,0.743,22,86.09,0
user_110818,705,0,17740.28,0.594,0.455,12,112.15,0
user_110819,829,0,47018.9,0.305,0.617,13,57.8,0
user_110820,57,0,30225.93,0.124,0.911,24,209.63,0
user_110821,362,0,5374.97,0.64,0.996,23,57.74,0
user_110822,30,0,9761.61,0.327,0.548,13,62.3,0
user_110823,217,1,16663.38,0.79,0.73,21,55.86,0
user_110824,85,0,4460.96,0.43,0.78,15,98.53,0
user_110825,576,1,7633.59,0.098,0.875,32,116.26,0
user_110826,141,0,23182.69,0.622,0.768,16,51.98,0
user_110827,827,0,8338.95,0.333,0.702,8,84.32,0
user_110828,339,0,41041.83,0.142,0.737,17,102.18,0
user_110829,65,1,9832.77,0.468,0.732,36,100.53,0
user_110830,468,0,5722.3,0.237,0.56,27,149.11,0
